name,uid,code,parent,shortName,level,openingDate
Rwanda,PZZ9VYDMUd6,Rwanda,,Rwanda,1,01-01-00
East Province,z1AeOPzA6wR,East Province,PZZ9VYDMUd6,East,2,01-01-00
Bugesera District,kmqrhxfZRdS,Bugesera District,z1AeOPzA6wR,Bugesera,3,01-01-00
Gashora Sector,rtHevpAtAMr,Gashora Sector,kmqrhxfZRdS,Gashora,4,01-01-00
Biryogo Cell,o5GmF3kBQ24,Biryogo Cell,rtHevpAtAMr,Biryogo,5,01-01-00
Bidudu Village,e5MXdl36eN0,Bidudu Village,o5GmF3kBQ24,Bidudu,6,01-01-00
Biryogo Village,uiXGquynlZL,Biryogo Village,o5GmF3kBQ24,Biryogo,6,01-01-00
Buhoro Village,gzwTicv8KCF,Buhoro Village,o5GmF3kBQ24,Buhoro,6,01-01-00
Gihanama Village,pEB21DmkYxV,Gihanama Village,o5GmF3kBQ24,Gihanama,6,01-01-00
Kagarama Village,FWIfyQb9UXo,Kagarama Village,o5GmF3kBQ24,Kagarama,6,01-01-00
Kanyonyomba Village,dtkQEBLoM4A,Kanyonyomba Village,o5GmF3kBQ24,Kanyonyomba,6,01-01-00
Karutete Village,jxQq8NMVdSK,Karutete Village,o5GmF3kBQ24,Karutete,6,01-01-00
Kivugiza Village,Vp1ZIL3hNPZ,Kivugiza Village,o5GmF3kBQ24,Kivugiza,6,01-01-00
Rugunga Village,vKjWKsRb1WU,Rugunga Village,o5GmF3kBQ24,Rugunga,6,01-01-00
Kabuye Cell,rO0tEEzl1Pg,Kabuye Cell,rtHevpAtAMr,Kabuye,5,01-01-00
Bidudu Village,e5MXdl36eN0,Bidudu Village,rO0tEEzl1Pg,Bidudu,6,01-01-00
Kabuye Village,HBrpo3n1jO7,Kabuye Village,rO0tEEzl1Pg,Kabuye,6,01-01-00
Karizinge Village,IhNmZmSPiNz,Karizinge Village,rO0tEEzl1Pg,Karizinge,6,01-01-00
Rwagasiga Village,jKuQC9OnyRO,Rwagasiga Village,rO0tEEzl1Pg,Rwagasiga,6,01-01-00
Rweteto Village,x2HqcRQIpaW,Rweteto Village,rO0tEEzl1Pg,Rweteto,6,01-01-00
Kagomasi Cell,rjHnaqGqajQ,Kagomasi Cell,rtHevpAtAMr,Kagomasi,5,01-01-00
Akagako Village,w4qHy8Pfjxv,Akagako Village,rjHnaqGqajQ,Akagako,6,01-01-00
Kagomasi Village,OTDTh7JYN64,Kagomasi Village,rjHnaqGqajQ,Kagomasi,6,01-01-00
Kiruhura Village,yjaOClCzrSj,Kiruhura Village,rjHnaqGqajQ,Kiruhura,6,01-01-00
Kuruganda Village,Q44sjr7uJsR,Kuruganda Village,rjHnaqGqajQ,Kuruganda,6,01-01-00
Runzenze Village,jHL180vnCYu,Runzenze Village,rjHnaqGqajQ,Runzenze,6,01-01-00
Rushubi Village,dowDyVuFFi1,Rushubi Village,rjHnaqGqajQ,Rushubi,6,01-01-00
Mwendo Cell,ON21Cw4FNvp,Mwendo Cell,rtHevpAtAMr,Mwendo,5,01-01-00
Gaharwa Village,PeK8V1A0yYE,Gaharwa Village,ON21Cw4FNvp,Gaharwa,6,01-01-00
Gisenyi Village,vMxZ5Iw6fdv,Gisenyi Village,ON21Cw4FNvp,Gisenyi,6,01-01-00
Kayovu Village,jAdVwiD4Jae,Kayovu Village,ON21Cw4FNvp,Kayovu,6,01-01-00
Ruhanga Village,VrmHnDx65cJ,Ruhanga Village,ON21Cw4FNvp,Ruhanga,6,01-01-00
Ruhanura Village,XZ0GVMl2SlF,Ruhanura Village,ON21Cw4FNvp,Ruhanura,6,01-01-00
Rutanga Village,Lvn9cERWhwN,Rutanga Village,ON21Cw4FNvp,Rutanga,6,01-01-00
Ramiro Cell,dqFRzIEjptK,Ramiro Cell,rtHevpAtAMr,Ramiro,5,01-01-00
Dihiro Village,iX3KSMMMim3,Dihiro Village,dqFRzIEjptK,Dihiro,6,01-01-00
Kagasa I Village,J7k7Bxfxqmd,Kagasa I Village,dqFRzIEjptK,Kagasa I,6,01-01-00
Kagasa II Village,SbjFm12Q4Tk,Kagasa II Village,dqFRzIEjptK,Kagasa II,6,01-01-00
Karusine I Village,d03MH30Q335,Karusine I Village,dqFRzIEjptK,Karusine I,6,01-01-00
Karusine II Village,qC27htzql9e,Karusine II Village,dqFRzIEjptK,Karusine II,6,01-01-00
Migina Village,zMAARdGU5rl,Migina Village,dqFRzIEjptK,Migina,6,01-01-00
Munyinya Village,Y23FzDoYTYg,Munyinya Village,dqFRzIEjptK,Munyinya,6,01-01-00
Rweru I Village,VuFh5tOHkIM,Rweru I Village,dqFRzIEjptK,Rweru I,6,01-01-00
Rweru II Village,cP3ySuy66W4,Rweru II Village,dqFRzIEjptK,Rweru II,6,01-01-00
Juru Sector,kz9GH2mpwxF,Juru Sector,kmqrhxfZRdS,Juru,4,01-01-00
Juru Cell,nH1QbU6shJz,Juru Cell,kz9GH2mpwxF,Juru,5,01-01-00
Ayabakiza Village,cAVzBwGQ2L0,Ayabakiza Village,nH1QbU6shJz,Ayabakiza,6,01-01-00
